,Unnamed: 0,100,200,300,400,500,600,700,800,900,1000
0,Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hannanum,0.06,0.055,0.053,0.07,0.068,0.068,0.07,0.068,0.066,0.067
2,Khaiii,2.97,3.1,3.133,3.17,3.162,3.145,3.167,3.1439999999999997,3.1319999999999997,3.154
3,Kiwi,3.91,3.945,3.97,3.955,3.9619999999999997,3.9619999999999997,3.9610000000000003,3.9610000000000003,3.967,3.9810000000000003
4,Kkma,4.55,4.51,4.553,4.542,4.54,4.537,4.524,4.51,4.507,4.5169999999999995
5,Komoran,3.42,3.465,3.49,3.508,3.4819999999999998,3.475,3.467,3.452,3.4619999999999997,3.47
6,Mecab,2.57,2.595,2.563,2.535,2.492,2.47,2.511,2.509,2.503,2.535
7,None,0.02,0.035,0.04,0.048,0.044000000000000004,0.042,0.051,0.046,0.044000000000000004,0.040999999999999995
8,Okt,3.13,3.12,3.123,3.11,3.094,3.097,3.083,3.094,3.094,3.093
9,Spm,4.7,4.7,4.747,4.738,4.704,4.723,4.72,4.711,4.71,4.706
10,Jamo,1.35,1.235,1.2770000000000001,1.295,1.34,1.335,1.32,1.328,1.3119999999999998,1.304
11,Character,3.08,3.07,3.053,3.06,3.0839999999999996,3.108,3.089,3.069,3.073,3.057
12,Time,12.860221147537231,12.885586023330688,12.67726230621338,18.979684829711914,12.87661862373352,12.70221710205078,12.828784942626953,12.854458808898926,12.719970941543579,12.711324214935305
